postalcode,State,City,USCounty,Lattitude,Longitude
60601,Chicago,IL,Cook,41.885,-87.626
60602,Chicago,IL,Cook,41.882,-87.624
60603,Chicago,IL,Cook,41.88,-87.629
60604,Chicago,IL,Cook,41.876,-87.626
60605,Chicago,IL,Cook,41.866,-87.627
60606,Chicago,IL,Cook,41.884,-87.638
60607,Chicago,IL,Cook,41.879,-87.651
60608,Chicago,IL,Cook,41.849,-87.667
60609,Chicago,IL,Cook,41.813,-87.654
60610,Chicago,IL,Cook,41.899,-87.637
60611,Chicago,IL,Cook,41.894,-87.623
60612,Chicago,IL,Cook,41.881,-87.687
60613,Chicago,IL,Cook,41.956,-87.661
60614,Chicago,IL,Cook,41.924,-87.653
60615,Chicago,IL,Cook,41.801,-87.605
60616,Chicago,IL,Cook,41.845,-87.627
60617,Chicago,IL,Cook,41.716,-87.554
60618,Chicago,IL,Cook,41.944,-87.703
60619,Chicago,IL,Cook,41.746,-87.608
60620,Chicago,IL,Cook,41.742,-87.656
60621,Chicago,IL,Cook,41.778,-87.642
60622,Chicago,IL,Cook,41.897,-87.671
60623,Chicago,IL,Cook,41.847,-87.717
60624,Chicago,IL,Cook,41.877,-87.724
60625,Chicago,IL,Cook,41.969,-87.704
60626,Chicago,IL,Cook,42.005,-87.669
60628,Chicago,IL,Cook,41.692,-87.622
60629,Chicago,IL,Cook,41.778,-87.709
60630,Chicago,IL,Cook,41.971,-87.758
60631,Chicago,IL,Cook,41.989,-87.805
60632,Chicago,IL,Cook,41.809,-87.712
60633,Chicago,IL,Cook,41.654,-87.559
60634,Chicago,IL,Cook,41.944,-87.812
60636,Chicago,IL,Cook,41.774,-87.67
60637,Chicago,IL,Cook,41.781,-87.603
60638,Chicago,IL,Cook,41.782,-87.774
60639,Chicago,IL,Cook,41.918,-87.756
60640,Chicago,IL,Cook,41.973,-87.667
60641,Chicago,IL,Cook,41.945,-87.746
60643,Chicago,IL,Cook,41.699,-87.66
60644,Chicago,IL,Cook,41.882,-87.758
60645,Chicago,IL,Cook,42.008,-87.706
60646,Chicago,IL,Cook,41.996,-87.753
60647,Chicago,IL,Cook,41.919,-87.698
60649,Chicago,IL,Cook,41.762,-87.568
60651,Chicago,IL,Cook,41.9,-87.742
60652,Chicago,IL,Cook,41.744,-87.713
60653,Chicago,IL,Cook,41.82,-87.612
60654,Chicago,IL,Cook,41.887,-87.637
60655,Chicago,IL,Cook,41.692,-87.709
60656,Chicago,IL,Cook,41.975,-87.826
60657,Chicago,IL,Cook,41.941,-87.654
60659,Chicago,IL,Cook,41.995,-87.705
60660,Chicago,IL,Cook,41.99,-87.665
60661,Chicago,IL,Cook,41.883,-87.641
60663,Chicago,IL,Cook,41.885,-87.636
60664,Chicago,IL,Cook,41.873,-87.654
60666,Chicago,IL,Cook,41.972,-87.895
60668,Chicago,IL,Cook,41.882,-87.627
60669,Chicago,IL,Cook,41.876,-87.651
60670,Chicago,IL,Cook,41.887,-87.622
60673,Chicago,IL,Cook,41.888,-87.629
60674,Chicago,IL,Cook,41.877,-87.65
60675,Chicago,IL,Cook,41.881,-87.63
60677,Chicago,IL,Cook,41.882,-87.64
60678,Chicago,IL,Cook,41.884,-87.632
60679,Chicago,IL,Cook,41.882,-87.635
60680,Chicago,IL,Cook,41.867,-87.648
60681,Chicago,IL,Cook,41.877,-87.647
60682,Chicago,IL,Cook,41.836,-87.687
60684,Chicago,IL,Cook,41.87,-87.672
60685,Chicago,IL,Cook,41.882,-87.624
60686,Chicago,IL,Cook,41.85,-87.651
60687,Chicago,IL,Cook,41.879,-87.626
60688,Chicago,IL,Cook,41.847,-87.65
60689,Chicago,IL,Cook,41.85,-87.653
60690,Chicago,IL,Cook,41.882,-87.631
60691,Chicago,IL,Cook,41.876,-87.615
60693,Chicago,IL,Cook,41.879,-87.613
60694,Chicago,IL,Cook,41.878,-87.63
60695,Chicago,IL,Cook,41.878,-87.633
60696,Chicago,IL,Cook,41.848,-87.65
60697,Chicago,IL,Cook,41.88,-87.616
60699,Chicago,IL,Cook,41.876,-87.647
60701,Chicago,IL,Cook,42.029,-87.808
60706,Chicago,IL,Cook,41.962,-87.817
60707,Chicago,IL,Cook,41.924,-87.817
60803,Chicago,IL,Cook,41.667,-87.74
60804,Chicago,IL,Cook,41.843,-87.763
60805,Chicago,IL,Cook,41.722,-87.703
60827,Chicago,IL,Cook,41.642,-87.63
